crypto1,crypto2,HR,correlation,spread_mean,spread_std,categories
GALA,AXS,1.3506345005047387,0.9524422219303676,-6.163897449398301,0.1193983577713406,Gaming
GALA,SAND,1.276876291132197,0.9719063478967744,-2.634965256220116,0.09222437541646887,Gaming
GALA,MANA,1.287486518151974,0.9574111435786601,-2.553235157185337,0.11313252955086449,Gaming
GALA,ENJ,1.5596212419952002,0.9435190138832442,-1.8139089659023793,0.1298207196574513,Gaming
AXS,SAND,0.9050195458515408,0.9768609611551903,2.582357954628335,0.059096260531117294,Gaming
AXS,MANA,0.9149989352539645,0.9648850474232085,2.642281215779427,0.07257948754539995,Gaming
AXS,ENJ,1.1137886207310035,0.955506159515907,3.173871724878875,0.08150398087566096,Gaming
SAND,MANA,0.9975029504527697,0.9745281338724058,0.05524121162974733,0.06688613799406247,Gaming
SAND,ENJ,1.2170840555779299,0.9673340882720154,0.6380433050102716,0.07560674238207822,Gaming
MANA,ENJ,1.1925152428336243,0.9701517375242928,0.5526764646802046,0.07065837310731907,Gaming
MANA,SLP,0.8870287869439647,0.9116808010191112,4.640654903326936,0.11972628809595066,Gaming
ENJ,SLP,0.6881738496173674,0.8694158101424168,3.085953703735031,0.11711924125596468,Gaming
WAXP,SLP,0.6720840766232034,0.9104215220020989,1.263935147207513,0.09145488202329671,Gaming
