index,trade,entry_price1,exit_price1,entry_price2,exit_price2,return,z_score,position
2024-02-26 17:00:00,short,3.653,,102.66,,,1.9951757427101287,0
2024-02-28 07:00:00,close,3.653,3.459,102.66,106.67,0.08816801329902452,0.42307911325205544,-1
2024-03-04 12:15:00,long,3.3,,114.77,,,-1.5547996739187588,0
2024-03-25 06:45:00,close,3.3,3.295,114.77,125.73,-0.1010104900182447,-0.4837423164622884,1
2024-03-28 21:30:00,long,2.863,,127.86,,,-1.5286519786953923,0
2024-04-28 18:45:00,close,2.863,2.169,127.86,92.32,0.031557195345350036,-0.4679394657800317,1
2024-05-07 18:15:00,long,1.954,,90.88,,,-1.5268514456452038,0
2024-05-20 19:45:00,close,1.954,2.009,90.88,93.21,-0.0014908142560583725,-0.4818571610848521,1
2024-05-24 12:45:00,short,2.391,,98.12,,,1.5026263495389782,0
2024-05-28 23:30:00,close,2.391,2.353,98.12,106.63,0.09862346586763807,0.45563127321523317,-1
2024-05-31 14:15:00,short,2.455,,102.05,,,1.5164853039174204,0
2024-06-04 07:30:00,close,2.455,2.269,102.05,101.26,0.06402244417147064,0.4763289758810558,-1
2024-06-16 15:00:00,short,2.175,,85.09,,,1.7007251691741792,0
2024-06-17 21:00:00,close,2.175,1.998,85.09,85.48,0.08196269264592047,0.44387979468897437,-1
2024-06-18 14:30:00,short,2.066,,79.26,,,1.6087178124181978,0
2024-06-28 16:30:00,close,2.066,2.169,79.26,94.33,0.13627894519953304,0.21521753492632426,-1
