index,trade,entry_price1,exit_price1,entry_price2,exit_price2,return,z_score,position
2024-02-19 22:00:00,short,3.443,,2.808,,,1.5146874250714897,0
2024-02-20 03:45:00,close,3.443,3.185,2.808,2.79,0.06452439360426589,0.38341156914010893,-1
2024-02-26 16:30:00,short,3.544,,3.224,,,1.6490612751927671,0
2024-03-01 20:15:00,close,3.544,3.292,3.224,3.17,0.05035671515552093,0.4945684479878435,-1
2024-03-11 01:30:00,long,3.182,,3.853,,,-1.5682589765702153,0
2024-03-11 08:45:00,close,3.182,3.423,3.853,4.122,0.0019228012227488385,-0.4730627568645013,1
2024-03-12 08:00:00,long,3.255,,4.144,,,-1.5485602543623445,0
2024-03-13 05:45:00,close,3.255,3.468,4.144,4.26,0.0334455100261553,-0.3653627708252375,1
2024-03-13 18:00:00,long,3.391,,4.784,,,-1.5222297352867051,0
2024-03-24 18:15:00,close,3.391,3.151,4.784,4.093,0.06966421690703989,-0.46460328323220906,1
2024-03-28 22:00:00,long,2.836,,4.56,,,-1.5108503328570264,0
2024-04-08 08:30:00,close,2.836,2.876,4.56,4.007,0.1313763021799916,-0.46824798884537666,1
2024-04-12 17:15:00,long,2.324,,3.491,,,-1.5714625732795573,0
2024-04-28 22:30:00,close,2.324,2.164,3.491,2.755,0.13798102719015376,-0.49052187747839443,1
2024-04-30 14:00:00,long,1.856,,2.471,,,-1.5467291194587647,0
2024-05-03 13:00:00,close,1.856,2.086,2.471,2.614,0.06205110663001154,-0.4898718158348261,1
2024-05-10 14:30:00,long,1.808,,2.645,,,-1.5905880052007544,0
2024-05-20 19:15:00,close,1.808,1.918,2.645,2.68,0.043608193786907876,-0.3635615706175173,1
2024-05-21 14:00:00,short,2.409,,2.913,,,1.5879467330436303,0
2024-05-22 06:15:00,close,2.409,2.147,2.913,2.919,0.10681855332239777,0.48391651326515944,-1
2024-05-24 12:45:00,short,2.391,,2.94,,,1.6352514360477564,0
2024-06-05 08:00:00,close,2.391,2.256,2.94,3.124,0.11504676550670472,0.4880769587438726,-1
2024-06-19 02:00:00,short,2.359,,2.259,,,1.6772482779590003,0
2024-06-23 20:15:00,close,2.359,2.07,2.259,2.214,0.0985892192147055,0.44370677380775,-1
2024-06-24 20:00:00,short,2.347,,2.086,,,1.5474862289305884,0
2024-06-28 16:45:00,close,2.347,2.084,2.086,2.164,0.14545008437772308,0.2929059808647476,-1
