index,trade,entry_price1,exit_price1,entry_price2,exit_price2,return,z_score,position
2024-02-03 02:00:00,long,2.756,,2.81,,,-1.5043809606300242,0
2024-02-07 16:45:00,close,2.756,3.066,2.81,2.823,0.10385552324530374,-0.06546360733636788,1
2024-02-15 00:30:00,short,3.342,,3.174,,,1.5224781931896278,0
2024-02-15 21:15:00,close,3.342,3.18,3.174,3.159,0.03974806976341656,0.3987544196612695,-1
2024-02-16 01:15:00,short,3.35,,3.183,,,1.5557239184045044,0
2024-02-17 08:30:00,close,3.35,3.12,3.183,3.049,0.022558067344709082,0.37295236435808815,-1
2024-02-19 06:00:00,short,3.359,,3.18,,,1.5081629865512227,0
2024-02-20 15:00:00,close,3.359,3.144,3.18,3.042,0.016610918568531592,0.43184352297475026,-1
2024-02-24 03:00:00,long,3.064,,3.361,,,-1.5862459618486855,0
2024-02-24 21:45:00,close,3.064,3.289,3.361,3.535,0.01766311390912352,-0.45045750825586844,1
2024-02-26 16:15:00,short,3.496,,3.43,,,1.675165036212862,0
2024-02-28 10:30:00,close,3.496,3.419,3.43,3.608,0.06992021535649234,0.3135132300902842,-1
2024-02-29 00:00:00,short,3.432,,3.345,,,1.5268599817173292,0
2024-02-29 17:15:00,close,3.432,3.403,3.345,3.572,0.0723123647652795,0.2919798753785263,-1
2024-03-04 12:00:00,long,3.297,,3.785,,,-1.5109225833205393,0
2024-03-05 04:00:00,close,3.297,3.46,3.785,3.723,0.06181933297513573,0.013325928534004525,1
2024-03-05 17:15:00,long,3.299,,3.792,,,-1.5784823256274187,0
2024-03-13 06:15:00,close,3.299,3.539,3.792,4.085,-0.008518614514307476,-0.2662772768802563,1
2024-03-14 15:00:00,long,3.211,,3.904,,,-1.5523355832043788,0
2024-03-21 22:00:00,close,3.211,2.926,3.904,3.419,0.03147416092734509,-0.4233721119530321,1
2024-04-08 11:00:00,short,3.018,,3.138,,,1.5888797027929318,0
2024-04-09 14:30:00,close,3.018,2.787,3.138,3.089,0.05692571403953587,0.4947023622360651,-1
2024-04-13 08:30:00,long,2.071,,2.329,,,-1.5053968194206875,0
2024-04-14 22:45:00,close,2.071,2.125,2.329,2.179,0.08647968438592282,-0.425482926759768,1
2024-04-16 15:00:00,long,1.915,,2.055,,,-1.5294564777014843,0
2024-04-27 17:30:00,close,1.915,2.028,2.055,2.155,0.00634603241155449,-0.46482814896664343,1
2024-04-29 23:00:00,short,2.243,,2.128,,,1.5993932213072446,0
2024-04-30 09:00:00,close,2.243,2.065,2.128,2.049,0.0382339425246128,0.45686189569692476,-1
2024-05-08 20:00:00,long,1.89,,2.109,,,-1.523554112851795,0
2024-05-17 14:15:00,close,1.89,1.827,2.109,2.028,0.0010734945471787653,-0.42977528856527947,1
2024-05-20 20:30:00,short,2.111,,2.097,,,1.6400800450607116,0
2024-06-05 09:15:00,close,2.111,2.252,2.097,2.082,-0.07794606492729328,0.4973809992889734,-1
2024-06-16 15:45:00,short,2.242,,1.539,,,1.7259392900472386,0
2024-06-18 01:30:00,close,2.242,1.756,1.539,1.238,0.017189193951608506,0.26453199924153026,-1
2024-06-18 07:45:00,short,2.05,,1.333,,,1.6697128122432547,0
2024-06-28 16:45:00,close,2.05,2.084,1.333,1.394,0.025176074506431313,0.4572978134654499,-1
