index,trade,entry_price1,exit_price1,entry_price2,exit_price2,return,z_score,position
2024-02-26 15:45:00,short,3.453,,0.7989,,,1.5370029493517687,0
2024-02-28 10:45:00,close,3.453,3.393,0.7989,0.8373,0.06144228548833272,0.310516137086663,-1
2024-02-29 00:30:00,short,3.514,,0.8164,,,1.6023238654392318,0
2024-02-29 06:15:00,close,3.514,3.467,0.8164,0.8611,0.06412764341249115,0.3456132327150851,-1
2024-03-01 20:15:00,long,3.292,,0.8947,,,-1.5274947010392697,0
2024-03-24 12:15:00,close,3.292,3.112,0.8947,0.9159,-0.0823731006177732,-0.33080124187789545,1
2024-03-29 09:15:00,long,2.825,,1.0151,,,-1.5025068647614312,0
2024-04-08 08:30:00,close,2.825,2.876,1.0151,0.9713,0.0572015556251049,-0.4855444111748078,1
2024-04-12 18:30:00,long,2.0,,0.769,,,-2.14580560643309,0
2024-04-14 22:00:00,close,2.0,2.085,0.769,0.666,0.17244018205461634,-0.47561003143393543,1
2024-04-24 18:45:00,long,2.02,,0.736,,,-1.5348939912677693,0
2024-04-27 17:45:00,close,2.02,2.072,0.736,0.7007,0.06970453077916489,-0.4143641987309279,1
2024-05-08 21:00:00,long,1.846,,0.6479,,,-1.551193112257881,0
2024-05-20 19:15:00,close,1.846,1.918,0.6479,0.677,-0.00991108836164922,-0.25534172547979433,1
2024-05-21 03:30:00,short,2.213,,0.6917,,,1.6749165162205568,0
2024-06-06 06:30:00,close,2.213,2.244,0.6917,0.7,-0.006008712040467533,0.4718141575957372,-1
2024-06-16 15:30:00,short,2.194,,0.5608,,,1.5206344695154783,0
2024-06-28 23:00:00,close,2.194,1.875,0.5608,0.4379,-0.07775467654620233,0.4966079052046412,-1
